Author,Best
Date,0
Score,0
ind1.n10o32.txt,1000000000
ind2.n10o43.txt,1000000000
ind3.n10o50.txt,1000000000
ind4.n25o79.txt,1000000000
ind5.n33o71.txt,1000000000
rc01.n10o10.txt,1000000000
rc02.n30o10.txt,1000000000
rc03.n50o10.txt,1000000000
rc04.n70o10.txt,1000000000
rc05.n100o10.txt,1000000000
rt01.n10o500.txt,1000000000
rt02.n50o500.txt,1000000000
rt03.n100o500.txt,1000000000
rt04.n100o1000.txt,1000000000
rt05.n200o2000.txt,1000000000
rc06.n100o500.txt,1000000000
rc07.n200o500.txt,1000000000
rc08.n200o800.txt,1000000000
rc09.n200o1000.txt,1000000000
rc10.n500o100.txt,1000000000
bonn.n109o101.txt,1000000000
rc11.n1000o100.txt,1000000000
rc12.n1000o10000.txt,1000000000
rl01.n5000o5000.txt,1000000000
rl02.n10000o500.txt,1000000000
rl03.n10000o100.txt,1000000000
rl04.n10000o10.txt,1000000000
rl05.n10000o0.txt,1000000000
bonn.n23292o54.txt,1000000000
bonn.n35574o158.txt,1000000000
bonn.n46269o127.txt,1000000000
bonn.n108500o141.txt,1000000000
bonn.n129399o210.txt,1000000000
bonn.n639639o382.txt,1000000000
bonn.n783352o175.txt,1000000000
