Author,Best,王万龙-华中大-计算机,王万龙-华中大-计算机,Gurobi9.1.1,王万龙-华中科技大学-计算机技术,王万龙-华中大-计算机,Gurobi9.1.1,Gurobi9.1.1
pr15.r120v11c6t480l90.txt,583538,583538,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pr16.r144v13c6t480l90.txt,747851,747851,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pr18.r72v6c6t480l90.txt,461758,461758,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pr19.r108v8c6t480l90.txt,597643,597643,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pr20.r144v10c6t480l90.txt,794176,794176,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a5-40.r40v5c3t480l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a5-50.r50v5c3t600l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a5-60.r60v5c3t720l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a6-48.r48v6c3t480l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a6-60.r60v6c3t600l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a6-72.r72v6c3t720l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a7-56.r56v7c3t480l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a7-70.r70v7c3t600l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a7-84.r84v7c3t720l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a8-64.r64v8c3t480l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a8-80.r80v8c3t600l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
a8-96.r96v8c3t720l30.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b5-40.r40v5c6t480l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b5-50.r50v5c6t600l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b5-60.r60v5c6t720l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b6-48.r48v6c6t480l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b6-60.r60v6c6t600l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b6-72.r72v6c6t720l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b7-56.r56v7c6t480l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b7-70.r70v7c6t600l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b7-84.r84v7c6t720l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b8-64.r64v8c6t480l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b8-80.r80v8c6t600l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
b8-96.r96v8c6t720l45.txt,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
