Author,Best,王万龙-华中大-计算机,王万龙-华中大-计算机,Gurobi9.1.1,王万龙-华中科技大学-计算机技术,王万龙-华中大-计算机,Gurobi9.1.1,Gurobi9.1.1
Date,0,2022-09-12 16:45:41.401,2022-09-10 14:12:55.773,2022-09-20 22:43:47.350,2022-09-09 15:28:01.119,2022-09-09 16:16:30.853,2022-09-20 17:20:41.009,2022-09-20 20:52:40.481
Score,0,0.08536020743008818,21003.652241429452,53963.35297424722,58731.6848552468,58731.6848552468,80626.05407266831,107734.08713981992
a2-16.r16v2c3t480l30.txt,294232,295177,295177,294232,295177,295177,294232,1000000000
a2-20.r20v2c3t600l30.txt,344814,344814,344814,344814,344814,344814,344814,1000000000
a2-24.r24v2c3t720l30.txt,431099,456120,456120,431099,456120,456120,431824,1000000000
a3-18.r18v3c3t360l30.txt,300465,300465,300465,301100,300465,300465,310881,1000000000
a3-24.r24v3c3t480l30.txt,344810,344810,344810,359798,344810,344810,1000000000,1000000000
a3-30.r30v3c3t600l30.txt,494813,494813,494813,1000000000,494813,494813,1000000000,1000000000
a3-36.r36v3c3t720l30.txt,583739,583739,583739,1000000000,583739,583739,1000000000,1000000000
a4-16.r16v4c3t240l30.txt,282659,282659,282659,282659,282659,282659,1000000000,1000000000
a4-24.r24v4c3t360l30.txt,374993,374993,374993,381093,374993,374993,1000000000,1000000000
a4-32.r32v4c3t480l30.txt,485458,485458,485458,1000000000,485458,485458,1000000000,1000000000
a4-40.r40v4c3t600l30.txt,557652,557652,557652,1000000000,557652,557652,1000000000,1000000000
a4-48.r48v4c3t720l30.txt,668768,668768,668768,1000000000,668768,668768,1000000000,1000000000
b2-16.r16v2c6t480l45.txt,309391,309598,309598,309391,1000000000,1000000000,309391,1000000000
b2-20.r20v2c6t600l45.txt,332616,332616,332616,332616,1000000000,1000000000,332616,1000000000
b2-24.r24v2c6t720l45.txt,444682,444682,444682,444682,1000000000,1000000000,444682,1000000000
b3-18.r18v3c6t360l45.txt,301626,301626,301626,301626,1000000000,1000000000,301626,1000000000
b3-24.r24v3c6t480l45.txt,394487,397907,397907,394487,1000000000,1000000000,1000000000,1000000000
b3-30.r30v3c6t600l45.txt,531411,532354,532354,531411,1000000000,1000000000,1000000000,1000000000
b3-36.r36v3c6t720l45.txt,603754,611600,611600,603754,1000000000,1000000000,1000000000,1000000000
b4-16.r16v4c6t240l45.txt,296942,296942,296942,296942,1000000000,1000000000,296942,1000000000
b4-24.r24v4c6t360l45.txt,371572,371572,371572,375939,1000000000,1000000000,1000000000,1000000000
b4-32.r32v4c6t480l45.txt,494798,494798,494798,523747,1000000000,1000000000,1000000000,1000000000
b4-40.r40v4c6t600l45.txt,657932,657932,657932,661589,1000000000,1000000000,1000000000,1000000000
b4-48.r48v4c6t720l45.txt,675050,675050,675050,1000000000,1000000000,1000000000,1000000000,1000000000
pr01.r24v3c6t480l90.txt,189992,189992,1000000000,286229,1000000000,1000000000,1000000000,1000000000
pr02.r48v5c6t480l90.txt,301287,301287,301287,1000000000,343677,343677,1000000000,1000000000
pr07.r36v4c6t480l90.txt,291671,291671,291671,1000000000,291671,291671,1000000000,1000000000
pr11.r24v3c6t480l90.txt,164437,164437,164437,1000000000,164437,164437,1000000000,1000000000
pr12.r48v5c6t480l90.txt,295894,295894,295939,1000000000,1000000000,1000000000,1000000000,1000000000
pr17.r36v4c6t480l90.txt,248174,248174,248174,1000000000,248174,248174,1000000000,1000000000
pr03.r72v7c6t480l90.txt,531927,531927,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pr04.r96v9c6t480l90.txt,572517,572517,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pr05.r120v11c6t480l90.txt,633519,633519,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pr06.r144v13c6t480l90.txt,799485,799485,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pr08.r72v6c6t480l90.txt,493185,493185,493185,1000000000,612244,612244,1000000000,1000000000
pr09.r108v8c6t480l90.txt,668812,668812,668812,1000000000,1000000000,1000000000,1000000000,1000000000
pr10.r144v10c6t480l90.txt,872323,872323,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pr13.r72v7c6t480l90.txt,489078,489078,492233,1000000000,1000000000,1000000000,1000000000,1000000000
pr14.r96v9c6t480l90.txt,535564,535564,537780,1000000000,1000000000,1000000000,1000000000,1000000000
