Author,Best,罗灿辉-华科-计算机
Date,0,2022-06-04 04:22:28.103
Score,0,0
n50.txt,7.947515274784537,7.947515274784537
n51.txt,8.027506952420673,8.027506952420673
n52.txt,8.084717190691169,8.084717190691169
n53.txt,8.179582826843877,8.179582826843877
n54.txt,8.203982383470672,8.203982383470672
n55.txt,8.211102550928159,8.211102550928159
n56.txt,8.383529922580442,8.383529922580442
n57.txt,8.447184653412108,8.447184653412108
n58.txt,8.524553770141747,8.524553770141747
n59.txt,8.592499959371615,8.592499959371615
n60.txt,8.646219845459528,8.646219845459528
n61.txt,8.661297575540575,8.661297575540575
n62.txt,8.829765408973266,8.829765408973266
n63.txt,8.89235153755294,8.89235153755294
n64.txt,8.961971108491841,8.961971108491841
n65.txt,9.017397323209678,9.017397323209678
n66.txt,9.096279426926454,9.096279426926454
n67.txt,9.168971881785899,9.168971881785899
n68.txt,9.229773746752134,9.229773746752134
n69.txt,9.26976126664219,9.26976126664219
n70.txt,9.345653194050893,9.345653194050893
n71.txt,9.415796896872658,9.415796896872658
n72.txt,9.473890856715222,9.473890856715222
n73.txt,9.540346152140168,9.540346152140168
n74.txt,9.58923276434101,9.58923276434101
n75.txt,9.672029631950315,9.672029631950315
n76.txt,9.729596802163798,9.729596802163798
n77.txt,9.798911924509516,9.798911924509516
n78.txt,9.857709899887386,9.857709899887386
n79.txt,9.90506346766161,9.90506346766161
n80.txt,9.968151813155334,9.968151813155334
n81.txt,10.010864241202537,10.010864241202537
n82.txt,10.050824223458893,10.050824223458893
n83.txt,10.116857875104103,10.116857875104103
n84.txt,10.149530867238402,10.149530867238402
n85.txt,10.163111465877297,10.163111465877297
n86.txt,10.298701053112234,10.298701053112234
n87.txt,10.363208505079903,10.363208505079903
n88.txt,10.432337692735171,10.432337692735171
n89.txt,10.500491814575478,10.500491814575478
n90.txt,10.546069177955864,10.546069177955864
n91.txt,10.56677223350608,10.56677223350608
n92.txt,10.68464584791765,10.68464584791765
n93.txt,10.733352600261595,10.733352600261595
n94.txt,10.778032160278082,10.778032160278082
n95.txt,10.840205021599491,10.840205021599491
n96.txt,10.883205374774649,10.883205374774649
n97.txt,10.938590110075294,10.938590110075294
n98.txt,10.979383128209188,10.979383128209188
n99.txt,11.033141151447024,11.033141151447024
n100.txt,11.082149724312107,11.082149724312107
n101.txt,11.146933575428571,11.146933575428571
n102.txt,11.196863472771886,11.196863472771886
n103.txt,11.265143565834848,11.265143565834848
n104.txt,11.317658566339963,11.317658566339963
n105.txt,11.362659612911683,11.362659612911683
n106.txt,11.4218343660481,11.4218343660481
n107.txt,11.472051837427697,11.472051837427697
n108.txt,11.524016134038382,11.524016134038382
n109.txt,11.562119071074658,11.562119071074658
n110.txt,11.616861550311144,11.616861550311144
n111.txt,11.662811184496537,11.662811184496537
n112.txt,11.705274526432554,11.705274526432554
n113.txt,11.747528122484624,11.747528122484624
n114.txt,11.795173364032708,11.795173364032708
n115.txt,11.839474009348503,11.839474009348503
n116.txt,11.896704500335026,11.896704500335026
n117.txt,11.94347553627946,11.94347553627946
